ZIP,Total Population,Total Under 5 years,Total 5 to 9 years,Total 10 to 14 years,Total 15 to 19 years,Total 20 to 24 years,Total 25 to 29 years,Total 30 to 34 years,Total 35 to 39 years,Total 40 to 44 years,Total 45 to 49 years,Total 50 to 54 years,Total 55 to 59 years,Total 60 to 64 years,Total 65 to 69 years,Total 70 to 74 years,Total 75 to 79 years,Total 80 to 84 years,Total 85 years and over,Male Population,Male Under 5 years,Male 5 to 9 years,Male 10 to 14 years,Male 15 to 19 years,Male 20 to 24 years,Male 25 to 29 years,Male 30 to 34 years,Male 35 to 39 years,Male 40 to 44 years,Male 45 to 49 years,Male 50 to 54 years,Male 55 to 59 years,Male 60 to 64 years,Male 65 to 69 years,Male 70 to 74 years,Male 75 to 79 years,Male 80 to 84 years,Male 85 years and over,Female Population,Female Under 5 years,Female 5 to 9 years,Female 10 to 14 years,Female 15 to 19 years,Female 20 to 24 years,Female 25 to 29 years,Female 30 to 34 years,Female 35 to 39 years,Female 40 to 44 years,Female 45 to 49 years,Female 50 to 54 years,Female 55 to 59 years,Female 60 to 64 years,Female 65 to 69 years,Female 70 to 74 years,Female 75 to 79 years,Female 80 to 84 years,Female 85 years and over
20105,27526,2832,3096,2283,1468,912,895,1990,3677,2823,1540,1884,1809,530,851,426,211,83,216,13484,1552,1540,1027,456,460,321,956,1628,1561,805,871,1068,223,412,223,101,83,197,14042,1280,1556,1256,1012,452,574,1034,2049,1262,735,1013,741,307,439,203,110,0,19
20106,5073,170,346,441,236,248,256,221,199,118,377,586,346,433,359,314,243,75,105,2459,89,141,347,128,60,159,94,88,45,139,264,173,257,165,117,88,58,47,2614,81,205,94,108,188,97,127,111,73,238,322,173,176,194,197,155,17,58
20109,42128,3850,3143,2913,2272,3079,4004,4008,3918,3101,2574,2244,2380,1659,1153,798,377,364,291,21669,1912,1668,1545,1133,1514,1975,2167,1773,2165,1604,1248,1104,607,568,386,126,128,46,20459,1938,1475,1368,1139,1565,2029,1841,2145,936,970,996,1276,1052,585,412,251,236,245
20110,48035,3601,3424,3413,2954,3148,3759,3349,3622,3983,3072,3338,2845,2578,1933,1147,731,647,491,24615,1723,1704,1891,1759,1678,1896,1770,1961,1969,1638,1724,1586,1026,850,743,376,186,135,23420,1878,1720,1522,1195,1470,1863,1579,1661,2014,1434,1614,1259,1552,1083,404,355,461,356
20111,36264,2512,2485,2891,2647,2306,2886,2338,3575,2733,2687,2410,1848,1638,973,1086,579,361,309,18744,1248,1141,1426,1486,1254,1336,1020,1994,1513,1564,1385,925,811,635,461,238,164,143,17520,1264,1344,1465,1161,1052,1550,1318,1581,1220,1123,1025,923,827,338,625,341,197,166
20112,25990,1357,1318,2105,1985,1369,1118,1661,1326,1776,2106,2362,2360,2054,1295,1033,442,163,160,13521,822,656,1122,1104,770,509,873,754,744,1000,1260,1294,1106,618,438,310,48,93,12469,535,662,983,881,599,609,788,572,1032,1106,1102,1066,948,677,595,132,115,67
20115,7838,222,422,733,491,622,526,299,599,588,405,621,532,442,563,230,359,84,100,3824,133,284,386,170,276,305,114,390,224,214,263,280,191,236,138,150,35,35,4014,89,138,347,321,346,221,185,209,364,191,358,252,251,327,92,209,49,65
20117,2591,126,157,171,162,22,23,153,47,102,247,221,217,391,192,149,77,100,34,1110,34,64,95,18,0,8,73,10,66,67,70,116,180,137,70,44,48,10,1481,92,93,76,144,22,15,80,37,36,180,151,101,211,55,79,33,52,24
20118,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20119,4288,298,171,257,241,322,245,334,312,171,116,413,511,236,260,78,177,75,71,2393,231,159,118,153,202,107,218,180,117,31,200,252,117,144,36,61,67,0,1895,67,12,139,88,120,138,116,132,54,85,213,259,119,116,42,116,8,71
