ZIP,Total Population
20105,34475
20106,4554
20109,43849
20110,49120
20111,38883
20112,29459
20115,6536
20117,2746
20119,4263
20120,42697
20121,28901
20124,14999
20129,482
20130,359
20132,18483
20135,2935
20136,31622
20137,1801
20141,8178
20143,1124
20144,1096
20147,66394
20148,61793
20151,22653
20152,37013
20155,37218
20158,4639
20164,40888
20165,33777
20166,14164
20169,28182
20170,42756
20171,51759
20175,33245
20176,51777
20180,8073
20181,9765
20184,735
20186,15171
20187,18888
20190,20957
20191,29948
20194,13171
20197,2558
20198,2440
22003,59372
22015,43941
22025,18470
22026,20225
22027,2330
22030,60431
22031,35256
22032,29909
22033,40692
22035,22
22039,18278
22041,28039
22042,34638
22043,25850
22044,13847
22046,18576
22060,9677
22066,18165
22079,35225
22101,31414
22102,27743
22124,18488
22125,917
22134,7357
22150,27955
22151,18026
22152,29843
22153,32697
22172,10679
22180,26666
22181,15555
22182,27778
22191,74189
22192,60299
22193,83064
22201,39331
22202,28472
22203,25437
22204,52761
22205,18594
22206,21645
22207,33734
22209,14859
22211,924
22213,3600
22214,0
22301,14356
22302,17972
22303,16109
22304,49237
22305,17849
22306,33330
22307,10271
22308,13935
22309,33773
22310,29611
22311,19934
22312,30447
22314,35784
22315,28184
22401,27799
22405,34430
22406,27129
22407,62668
22408,32043
22427,3379
22432,351
22433,192
22435,2124
22436,618
22437,694
22438,426
22443,9151
22448,724
22454,1994
22460,1817
22469,1722
22472,1023
22473,5409
22476,333
22480,850
22482,2794
22485,26025
22488,1211
22503,3997
22504,251
22508,14748
22509,74
22511,1143
22514,2605
22520,5659
22529,276
22534,3102
22535,667
22538,255
22539,2113
22542,2048
22546,17757
22548,88
22551,21236
22553,16476
22554,64354
22556,29688
22560,6465
22567,2949
22572,6283
22576,1672
22578,2449
22580,5293
22601,29720
22602,30865
22603,16298
22610,2125
22611,9176
22620,2595
22623,660
22624,2595
22625,3784
22627,668
22630,33829
22637,2122
22639,664
22640,498
22641,299
22642,4701
22643,362
22644,2381
22645,4208
22646,80
22650,962
22652,1535
22654,894
22655,22395
22656,5454
22657,11974
22660,1715
22663,1761
22664,9383
22701,37411
22709,945
22711,148
22712,10587
22713,1454
22714,921
22715,1124
22716,883
22718,690
22719,312
22720,916
22722,238
22723,114
22724,2400
22725,38
22726,766
22727,5495
22728,3133
22729,1192
22730,157
22731,316
22732,325
22733,1391
22734,3470
22735,2259
22736,620
22737,3382
22738,1225
22740,1240
22741,226
22742,1726
22743,145
22746,216
22747,1081
22749,469
22801,40460
22802,28383
22807,5575
22810,798
22811,435
22812,9799
22815,9083
22820,281
22821,5848
22824,6070
22827,10769
22830,1671
22831,918
22832,1181
22834,1354
22835,11561
22840,4524
22841,3047
22842,5215
22843,2374
22844,4599
22845,72
22846,2254
22847,993
22849,4891
22850,971
22851,5771
22853,4608
22901,36938
22902,22457
22903,42170
22904,4917
22908,0
22911,19236
22920,4192
22922,1997
22923,5819
22931,357
22932,10443
22935,1068
22936,5356
22937,1401
22938,1314
22939,6478
22940,1081
22942,9435
22943,543
22946,182
22947,5000
22948,252
22949,1322
22952,1939
22957,5
22958,1981
22959,1712
22960,11067
22963,16279
22964,193
22967,1857
22968,10632
22969,1313
22971,1709
22972,391
22973,6588
22974,5427
22976,307
22980,33049
22989,170
23002,10555
23004,759
23005,17818
23009,7737
23011,1555
23015,4590
23021,78
23022,910
23023,395
23024,9108
23025,531
23027,1345
23030,4678
23032,252
23035,1410
23038,1935
23039,1124
23040,4555
23043,1627
23045,133
23047,2064
23050,671
23055,831
23056,425
23059,40249
23060,38288
23061,22256
23062,2652
23063,5527
23065,1602
23066,578
23068,241
23069,3835
23070,463
23071,1567
23072,12312
23075,10236
23076,433
23079,401
23081,8
23083,2180
23084,1842
23085,384
23086,3416
23089,5507
23091,329
23092,657
23093,14170
23102,3195
23103,5836
23106,960
23108,149
23109,1806
23110,687
23111,38151
