ZIP,Population_log_ratio,Under 5 years_log_ratio,5 to 9 years_log_ratio,10 to 14 years_log_ratio,15 to 19 years_log_ratio,20 to 24 years_log_ratio,25 to 29 years_log_ratio,30 to 34 years_log_ratio,35 to 39 years_log_ratio,40 to 44 years_log_ratio,45 to 49 years_log_ratio,50 to 54 years_log_ratio,55 to 59 years_log_ratio,60 to 64 years_log_ratio,65 to 69 years_log_ratio,70 to 74 years_log_ratio,75 to 79 years_log_ratio,80 to 84 years_log_ratio,85 years and over_log_ratio,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,pca_1,pca_2
20105,-0.040546094,0.192547521,-0.010329337,-0.201112763,-0.795988113,0.017505918,-0.579818495,-0.078353314,-0.229873464,0.212477208,0.090853624,-0.15086876,0.365129668,-0.318453731,-0.063327134,0.093526058,-0.084557388,4.430816799,2.292534757,4,8.45E-24,0,0,3.30E-05,0.999966986,-0.098817348,-0.249350558
20106,-0.061102748,0.093090423,-0.372049111,1.298325588,0.168464522,-1.130873151,0.490206337,-0.298153372,-0.229862502,-0.475423697,-0.534821129,-0.197922497,0,0.376809852,-0.16101177,-0.517582406,-0.561219638,1.187165686,-0.206336433,4,0.001571607,0,0,1.04E-05,0.998418008,-0.633246971,-0.814244606
20109,0.057457055,-0.013499686,0.122888919,0.121590404,-0.005277057,-0.033109159,-0.026961194,0.162953146,-0.19036876,0.837954145,0.502552567,0.22534774,-0.144668242,-0.54922363,-0.029439355,-0.0650229,-0.685242001,-0.608247737,-1.655183934,0,0.958991616,0,0,3.89E-08,0.041008345,0.147885493,0.029403569
20110,0.049763582,-0.086092548,-0.009340406,0.216952397,0.386331154,0.132255936,0.017548975,0.114119512,0.165942665,-0.022585653,0.132921451,0.065892094,0.230733721,-0.413546613,-0.242001053,0.608153968,0.057314457,-0.904456274,-0.965080896,0,0.999990331,0,0,4.17E-12,9.67E-06,0.214024299,0.385898657
20111,0.067526889,-0.012728891,-0.163612902,-0.026963265,0.246618009,0.175492339,-0.148471586,-0.256091335,0.231954181,0.21508496,0.330992073,0.300754154,0.002162163,-0.019512814,0.629198456,-0.30378548,-0.358347185,-0.182321557,-0.148180513,0,0.999985394,0,0,1.12E-11,1.46E-05,0.368147003,0.092824793
20112,0.080992229,0.42882204,-0.009090972,0.132133058,0.225408558,0.250758718,-0.179048231,0.102314055,0.275832033,-0.326838251,-0.100654153,0.133871317,0.193659723,0.154000134,-0.091042015,-0.305741254,0.849443784,-0.861769893,0.323787077,0,0.99993344,0,0,2.90E-11,6.66E-05,0.277099395,0.186617192
20115,-0.04847888,0.39803013,0.718015247,0.106222213,-0.632887989,-0.225307274,0.32090772,-0.480814545,0.621600029,-0.483796951,0.113142656,-0.307373285,0.104965181,-0.271933715,-0.324953467,0.40187444,-0.329827694,-0.328504067,-0.606135804,0,0.996944502,0,0,4.06E-09,0.003055494,-0.27148491,0.558224849
20117,-0.288132016,-0.977251432,-0.368907512,0.22054277,-2.032294763,-3.135494216,-0.575364145,-0.090384061,-1.239690887,0.593774707,-0.978989326,-0.761200644,0.137201122,-0.158089243,0.901901994,-0.119346758,0.280301965,-0.078471615,-0.820980552,4,1.07E-67,0,0,0.009254405,0.990745595,-1.62375879,-0.27781482
20119,0.233219203,1.227229666,2.510224458,-0.162518929,0.548316233,0.517415433,-0.252342706,0.626897795,0.308147903,0.763351439,-0.988611393,-0.062671107,-0.027292142,-0.016807118,0.214559808,-0.150282203,-0.63503955,2.022283128,-4.276666119,4,7.54E-33,0,0,0.000100985,0.999899015,0.436017339,-0.757616457
20120,0.000832178,0.149729656,-0.390557663,-0.010845401,-0.030950246,0.310404025,0.121048421,0.021925361,-0.111724546,-0.076312953,0.167372556,-0.39446128,-0.17404422,0.237809114,-0.051657054,0.482723591,0.598531204,-0.642503448,0.354276861,0,0.999877559,0,0,1.42E-10,0.000122441,0.087306787,0.317962452
