ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Cluster
20105,15148,354,1230,3183,10381,2
20106,2536,105,782,865,784,0
20109,23888,4588,5484,5946,7870,4
20110,26546,4306,6890,7183,8167,4
20111,20115,4180,5018,5120,5797,4
20112,14763,536,2184,4580,7463,2
20115,4012,343,913,1213,1543,0
20117,1401,66,163,502,670,2
20119,2338,374,518,741,705,4
20120,23546,1017,2965,4627,14937,2
20121,17157,1045,3103,3785,9224,2
20124,7921,198,786,1046,5891,2
20129,317,0,14,26,277,2
20130,114,13,21,7,73,2
20132,9655,563,1080,2418,5594,2
20135,1873,31,456,427,959,2
20136,16952,753,2607,3947,9645,2
20137,967,69,164,226,508,2
20141,3737,30,461,935,2311,2
20143,332,11,70,135,116,0
20144,464,82,118,115,149,4
20147,35166,1318,2647,7078,24123,2
20148,30428,1009,1784,3989,23646,2
20151,12230,1136,1838,2327,6929,2
20152,21284,744,2185,3457,14898,2
20155,18366,505,2904,4914,10043,2
20158,2324,58,186,601,1479,2
20164,22825,4345,4364,5522,8594,4
20165,18330,597,1537,3483,12713,2
20166,7451,684,1184,1285,4298,2
20169,12778,305,1300,3394,7779,2
20170,24943,3513,3333,4036,14061,2
20171,29157,764,2419,3865,22109,2
20175,19962,764,2948,3725,12525,2
20176,27983,1800,3200,6169,16814,2
20180,4152,172,746,968,2266,2
20181,4808,199,1337,1313,1959,0
20184,246,0,71,91,84,0
20186,7744,413,1614,2677,3040,0
20187,9842,351,1640,3157,4694,2
20190,12183,329,956,1696,9202,2
20191,16401,1045,2069,3238,10049,2
20194,7384,55,298,923,6108,2
20197,1422,0,154,357,911,2
20198,880,53,133,209,485,2
22003,30480,4043,5036,6314,15087,2
22015,23698,860,2586,5153,15099,2
22025,10141,294,1567,2864,5416,2
22026,8404,836,2072,2550,2946,0
22027,1168,42,39,154,933,2
22030,31325,1816,3296,5160,21053,2
22031,20820,995,1581,2833,15411,2
22032,16227,538,1807,2850,11032,2
22033,22739,550,1733,4283,16173,2
22035,166,17,0,65,84,2
22039,9125,130,571,1165,7259,2
22041,15498,3308,2246,2763,7181,2
22042,21140,2804,3084,3337,11915,2
22043,14636,992,1326,2189,10129,2
22044,7620,1287,1300,917,4116,2
22046,10198,391,959,1031,7817,2
22060,4112,78,387,1667,1980,0
22066,8523,47,432,875,7169,2
22079,20561,1348,3488,5149,10576,2
22101,14514,283,261,1130,12840,2
22102,15525,288,618,1347,13272,2
22124,9722,214,381,1111,8016,2
22125,567,0,75,195,297,2
22134,2553,60,572,757,1164,2
22150,14959,2295,2866,3556,6242,2
22151,9356,1458,1430,2003,4465,2
22152,15387,911,2043,2947,9486,2
22153,17128,834,1745,3648,10901,2
22172,6249,962,1120,1799,2368,4
22180,12901,507,806,1691,9897,2
22181,7446,200,286,823,6137,2
22182,13672,299,599,1499,11275,2
22191,41500,5656,8722,11581,15541,4
22192,32176,2741,5786,9576,14073,2
22193,45419,6459,9835,12957,16168,4
22201,27164,563,1046,1809,23746,2
22202,18698,131,646,1609,16312,2
22203,15946,706,906,1186,13148,2
22204,33369,3308,4199,5218,20644,2
22205,9987,475,772,854,7886,2
22206,14583,768,578,1899,11338,2
22207,17494,388,1143,1520,14443,2
22209,9194,390,347,875,7582,2
22211,261,6,43,108,104,0
22213,2651,187,232,215,2017,2
22214,0,0,0,0,0,2
22301,8320,137,261,672,7250,2
22302,11957,526,1097,1597,8737,2
22303,9728,763,1090,1571,6304,2
22304,30980,2159,3690,6635,18496,2
22305,11612,1669,1495,1611,6837,2
22306,17825,2854,3756,4032,7183,2
22307,5389,233,337,1030,3789,2
22308,6200,120,367,656,5057,2
22309,19939,2786,4228,4790,8135,2
22310,18001,1132,2233,3458,11178,2
22311,11977,1404,1427,3543,5603,2
22312,18317,2162,3520,3971,8664,2
22314,23507,491,1514,2644,18858,2
22315,17197,511,1863,3630,11193,2
22401,14402,1221,3059,3747,6375,2
22405,17062,673,4064,4704,7621,2
22406,13347,556,2930,4677,5184,0
22407,30853,2369,9108,9617,9759,0
22408,16798,1204,3470,5162,6962,0
22427,2253,150,777,660,666,4
22432,132,0,132,0,0,1
22433,215,0,123,92,0,4
22435,1202,85,403,471,243,0
22436,326,46,134,110,36,4
22437,382,47,126,209,0,0
22438,187,0,69,60,58,0
22443,4191,556,1478,1326,831,4
22448,320,7,70,134,109,0
22454,1043,183,276,471,113,4
22460,609,33,196,171,209,0
22469,971,155,483,155,178,4
22473,1986,249,877,433,427,4
22476,147,33,73,29,12,4
22480,170,10,24,46,90,2
22482,1495,63,411,618,403,0
22485,13955,929,3608,4383,5035,0
22488,310,23,109,158,20,0
22503,1707,234,580,465,428,4
22504,20,0,11,4,5,1
22508,7413,603,1905,2747,2158,0
22509,46,0,10,36,0,0
22511,234,0,50,113,71,0
22514,1135,118,326,347,344,4
22520,3084,418,1099,936,631,4
22529,11,0,0,7,4,0
22534,1455,194,724,344,193,4
22535,169,21,69,31,48,4
22538,117,67,28,22,0,3
22539,783,45,133,236,369,2
22542,1031,83,520,265,163,4
22546,8498,430,3274,2925,1869,0
22548,124,0,0,72,52,0
22551,10531,1201,3319,3278,2733,4
22553,8455,335,2065,3301,2754,0
22554,33172,2080,6668,9336,15088,2
22556,16779,1801,3237,5150,6591,0
22560,3146,450,1293,929,474,4
22567,1793,175,696,641,281,4
22572,4322,768,1567,1247,740,4
22576,756,72,203,235,246,0
22578,1327,94,443,352,438,4
22580,3078,405,1365,686,622,4
22601,14832,1792,3722,4388,4930,4
22602,15895,1418,4897,4929,4651,0
22603,7976,877,2974,2302,1823,4
