Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Less than high school graduate:,Margin of Error!!Total:!!Less than high school graduate:,Estimate!!Total:!!Less than high school graduate:!!In labor force:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Less than high school graduate:!!Not in labor force,Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force,Estimate!!Total:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!High school graduate (includes equivalency):,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Some college or associate's degree:,Margin of Error!!Total:!!Some college or associate's degree:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Some college or associate's degree:!!Not in labor force,Margin of Error!!Total:!!Some college or associate's degree:!!Not in labor force,Estimate!!Total:!!Bachelor's degree or higher:,Margin of Error!!Total:!!Bachelor's degree or higher:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Bachelor's degree or higher:!!Not in labor force,Margin of Error!!Total:!!Bachelor's degree or higher:!!Not in labor force
ZCTA5 20105,15148,1436,354,176,202,162,0,24,202,162,202,162,0,24,152,78,1230,446,1057,420,0,24,1057,420,988,412,69,62,173,135,3183,661,2588,603,13,21,2575,607,2567,608,8,15,595,345,10381,982,9510,927,55,46,9455,919,9240,931,215,130,871,232
ZCTA5 20106,2536,397,105,76,43,36,0,18,43,36,43,36,0,18,62,61,782,234,615,196,0,18,615,196,567,186,48,51,167,91,865,232,642,211,0,18,642,211,618,205,24,36,223,127,784,198,607,174,0,18,607,174,607,174,0,18,177,80
ZCTA5 20109,23888,1416,4588,827,3598,827,0,27,3598,827,3582,827,16,25,990,329,5484,620,4557,576,0,27,4557,576,4285,567,272,189,927,241,5946,598,5479,574,39,62,5440,581,5109,589,331,167,467,173,7870,1180,7049,1058,25,41,7024,1060,6855,1039,169,98,821,296
ZCTA5 20110,26546,544,4306,574,3259,431,0,27,3259,431,3194,432,65,60,1047,310,6890,646,5087,557,0,27,5087,557,4850,555,237,109,1803,326,7183,550,5915,495,0,27,5915,495,5801,514,114,99,1268,250,8167,625,7046,575,83,62,6963,586,6837,575,126,82,1121,229
ZCTA5 20111,20115,714,4180,764,3096,656,0,27,3096,656,2882,644,214,176,1084,336,5018,663,4536,686,0,27,4536,686,4374,682,162,101,482,180,5120,534,4473,484,23,33,4450,484,4318,494,132,104,647,226,5797,568,5293,537,27,35,5266,540,5214,538,52,50,504,157
ZCTA5 20112,14763,783,536,171,338,133,0,24,338,133,335,133,3,5,198,77,2184,293,1700,242,0,24,1700,242,1584,233,116,77,484,140,4580,522,3473,499,42,40,3431,494,3356,486,75,39,1107,311,7463,661,6716,631,120,65,6596,619,6415,609,181,85,747,149
ZCTA5 20115,4012,478,343,237,278,188,0,18,278,188,266,190,12,20,65,64,913,246,787,233,0,18,787,233,781,232,6,9,126,75,1213,300,1048,285,9,15,1039,285,1014,283,25,31,165,79,1543,307,1317,256,0,18,1317,256,1309,255,8,9,226,108
ZCTA5 20117,1401,366,66,48,66,48,0,13,66,48,66,48,0,13,0,13,163,59,87,49,0,13,87,49,87,49,0,13,76,52,502,335,346,232,0,13,346,232,346,232,0,13,156,144,670,168,513,166,2,4,511,167,493,166,18,29,157,82
ZCTA5 20118,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 20119,2338,425,374,143,305,134,0,13,305,134,305,134,0,13,69,49,518,179,383,139,0,13,383,139,374,138,9,16,135,83,741,187,648,174,0,13,648,174,635,174,13,22,93,54,705,241,543,210,0,13,543,210,502,189,41,51,162,79
ZCTA5 20120,23546,1095,1017,318,719,253,0,27,719,253,656,238,63,65,298,136,2965,492,2639,490,18,28,2621,494,2446,485,175,97,326,115,4627,541,3694,418,35,38,3659,418,3598,417,61,46,933,283,14937,833,12969,767,66,47,12903,760,12457,753,446,130,1968,341
ZCTA5 20121,17157,1146,1045,344,728,259,0,24,728,259,717,258,11,18,317,142,3103,666,2437,487,0,24,2437,487,2383,486,54,40,666,344,3785,711,3391,704,14,20,3377,704,3305,699,72,53,394,115,9224,599,8053,545,77,62,7976,541,7802,546,174,93,1171,236
ZCTA5 20124,7921,773,198,82,128,71,0,20,128,71,128,71,0,20,70,40,786,201,576,187,0,20,576,187,487,153,89,140,210,79,1046,183,920,174,5,7,915,173,915,173,0,20,126,56,5891,724,5014,675,54,30,4960,678,4829,657,131,66,877,163
ZCTA5 20129,317,147,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,23,14,23,0,13,14,23,14,23,0,13,0,13,26,47,26,47,0,13,26,47,26,47,0,13,0,13,277,125,229,101,0,13,229,101,229,101,0,13,48,46
ZCTA5 20130,114,83,13,18,13,18,0,13,13,18,13,18,0,13,0,13,21,27,6,11,0,13,6,11,6,11,0,13,15,24,7,11,7,11,0,13,7,11,7,11,0,13,0,13,73,63,55,45,0,13,55,45,55,45,0,13,18,32
