Label (Grouping),Total
ZCTA5 20105,
    ZCTA5 20105,"34,475"
ZCTA5 20106,
    ZCTA5 20106,"4,554"
ZCTA5 20109,
    ZCTA5 20109,"43,849"
ZCTA5 20110,
    ZCTA5 20110,"49,120"
ZCTA5 20111,
    ZCTA5 20111,"38,883"
ZCTA5 20112,
    ZCTA5 20112,"29,459"
ZCTA5 20115,
    ZCTA5 20115,"6,536"
ZCTA5 20117,
    ZCTA5 20117,"2,746"
ZCTA5 20119,
    ZCTA5 20119,"4,263"
ZCTA5 20120,
    ZCTA5 20120,"42,697"
ZCTA5 20121,
    ZCTA5 20121,"28,901"
ZCTA5 20124,
    ZCTA5 20124,"14,999"
ZCTA5 20129,
    ZCTA5 20129,482
ZCTA5 20130,
    ZCTA5 20130,359
ZCTA5 20132,
    ZCTA5 20132,"18,483"
ZCTA5 20135,
    ZCTA5 20135,"2,935"
ZCTA5 20136,
    ZCTA5 20136,"31,622"
ZCTA5 20137,
    ZCTA5 20137,"1,801"
ZCTA5 20141,
    ZCTA5 20141,"8,178"
ZCTA5 20143,
    ZCTA5 20143,"1,124"
ZCTA5 20144,
    ZCTA5 20144,"1,096"
ZCTA5 20147,
    ZCTA5 20147,"66,394"
ZCTA5 20148,
    ZCTA5 20148,"61,793"
ZCTA5 20151,
    ZCTA5 20151,"22,653"
ZCTA5 20152,
    ZCTA5 20152,"37,013"
ZCTA5 20155,
    ZCTA5 20155,"37,218"
ZCTA5 20158,
    ZCTA5 20158,"4,639"
ZCTA5 20164,
    ZCTA5 20164,"40,888"
ZCTA5 20165,
    ZCTA5 20165,"33,777"
ZCTA5 20166,
    ZCTA5 20166,"14,164"
ZCTA5 20169,
    ZCTA5 20169,"28,182"
ZCTA5 20170,
    ZCTA5 20170,"42,756"
ZCTA5 20171,
    ZCTA5 20171,"51,759"
ZCTA5 20175,
    ZCTA5 20175,"33,245"
ZCTA5 20176,
    ZCTA5 20176,"51,777"
ZCTA5 20180,
    ZCTA5 20180,"8,073"
ZCTA5 20181,
    ZCTA5 20181,"9,765"
ZCTA5 20184,
    ZCTA5 20184,735
ZCTA5 20186,
    ZCTA5 20186,"15,171"
ZCTA5 20187,
    ZCTA5 20187,"18,888"
ZCTA5 20190,
    ZCTA5 20190,"20,957"
ZCTA5 20191,
    ZCTA5 20191,"29,948"
ZCTA5 20194,
    ZCTA5 20194,"13,171"
ZCTA5 20197,
    ZCTA5 20197,"2,558"
ZCTA5 20198,
    ZCTA5 20198,"2,440"
ZCTA5 22003,
    ZCTA5 22003,"59,372"
ZCTA5 22015,
    ZCTA5 22015,"43,941"
ZCTA5 22025,
    ZCTA5 22025,"18,470"
ZCTA5 22026,
    ZCTA5 22026,"20,225"
ZCTA5 22027,
    ZCTA5 22027,"2,330"
