ZIP,Total in Working Age,Less than high school graduate,Less than high school graduate~In labor force,Less than high school graduate~In labor force~In Armed Forces,Less than high school graduate~In labor force~Civilian,Less than high school graduate~In labor force~Civilian~Employed,Less than high school graduate~In labor force~Civilian~Unemployed,Less than high school graduate~Not in labor force,High school graduate (includes equivalency),High school graduate (includes equivalency)~In labor force,High school graduate (includes equivalency)~In labor force~In Armed Forces,High school graduate (includes equivalency)~In labor force~Civilian,High school graduate (includes equivalency)~In labor force~Civilian~Employed,High school graduate (includes equivalency)~In labor force~Civilian~Unemployed,High school graduate (includes equivalency)~Not in labor force,Some college or associate's degree,Some college or associate's degree~In labor force,Some college or associate's degree~In labor force~In Armed Forces,Some college or associate's degree~In labor force~Civilian,Some college or associate's degree~In labor force~Civilian~Employed,Some college or associate's degree~In labor force~Civilian~Unemployed,Some college or associate's degree~Not in labor force,Bachelor's degree or higher,Bachelor's degree or higher~In labor force,Bachelor's degree or higher~In labor force~In Armed Forces,Bachelor's degree or higher~In labor force~Civilian,Bachelor's degree or higher~In labor force~Civilian~Employed,Bachelor's degree or higher~In labor force~Civilian~Unemployed,Bachelor's degree or higher~Not in labor force
20105,15148,354,202,0,202,202,0,152,1230,1057,0,1057,988,69,173,3183,2588,13,2575,2567,8,595,10381,9510,55,9455,9240,215,871
20106,2536,105,43,0,43,43,0,62,782,615,0,615,567,48,167,865,642,0,642,618,24,223,784,607,0,607,607,0,177
20109,23888,4588,3598,0,3598,3582,16,990,5484,4557,0,4557,4285,272,927,5946,5479,39,5440,5109,331,467,7870,7049,25,7024,6855,169,821
20110,26546,4306,3259,0,3259,3194,65,1047,6890,5087,0,5087,4850,237,1803,7183,5915,0,5915,5801,114,1268,8167,7046,83,6963,6837,126,1121
20111,20115,4180,3096,0,3096,2882,214,1084,5018,4536,0,4536,4374,162,482,5120,4473,23,4450,4318,132,647,5797,5293,27,5266,5214,52,504
20112,14763,536,338,0,338,335,3,198,2184,1700,0,1700,1584,116,484,4580,3473,42,3431,3356,75,1107,7463,6716,120,6596,6415,181,747
20115,4012,343,278,0,278,266,12,65,913,787,0,787,781,6,126,1213,1048,9,1039,1014,25,165,1543,1317,0,1317,1309,8,226
20117,1401,66,66,0,66,66,0,0,163,87,0,87,87,0,76,502,346,0,346,346,0,156,670,513,2,511,493,18,157
20119,2338,374,305,0,305,305,0,69,518,383,0,383,374,9,135,741,648,0,648,635,13,93,705,543,0,543,502,41,162
20120,23546,1017,719,0,719,656,63,298,2965,2639,18,2621,2446,175,326,4627,3694,35,3659,3598,61,933,14937,12969,66,12903,12457,446,1968
20121,17157,1045,728,0,728,717,11,317,3103,2437,0,2437,2383,54,666,3785,3391,14,3377,3305,72,394,9224,8053,77,7976,7802,174,1171
20124,7921,198,128,0,128,128,0,70,786,576,0,576,487,89,210,1046,920,5,915,915,0,126,5891,5014,54,4960,4829,131,877
