ZIP,Total Employed Civillians Above 16,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
20105,14414,9245,2088,1875,577,629
20106,2344,1020,558,284,204,278
20109,23788,8159,4833,4561,4175,2060
20110,24959,9457,4702,4898,3286,2616
20111,20044,7378,3670,3756,3111,2129
20112,13759,7602,1971,2588,1034,564
20115,4172,1789,586,840,562,395
20117,1191,568,161,362,31,69
20119,2330,1104,288,458,236,244
20120,23749,14074,2571,4653,1035,1416
20121,16515,8185,3231,3381,976,742
20124,8013,5830,552,1226,236,169
20129,351,212,35,92,12,0
20130,96,56,8,19,13,0
20132,9939,5267,1334,1948,691,699
20135,2059,1023,310,314,210,202
20136,16898,9451,2618,2907,880,1042
20137,828,547,81,55,106,39
20141,3809,2430,445,655,111,168
20143,305,154,22,105,10,14
20144,629,320,149,28,30,102
20147,35207,22205,3673,6644,1067,1618
20148,29313,20901,2897,4223,497,795
20151,12210,6337,2143,2039,857,834
20152,20020,13489,2068,3304,472,687
20155,18149,9642,2560,3818,1061,1068
20158,2580,1449,341,589,44,157
20164,23433,8982,5172,4823,2285,2171
20165,18753,12274,1693,3762,462,562
20166,7650,4197,1084,1391,462,516
20169,12602,7335,1583,2473,497,714
20170,25806,12892,4897,4263,1741,2013
20171,28976,20086,2611,4440,512,1327
20175,18876,11149,2676,3273,700,1078
20176,27932,15628,3887,5267,1575,1575
20180,3848,2200,427,733,209,279
20181,4795,2226,737,1107,390,335
20184,259,63,45,67,57,27
20186,7602,3369,1349,1201,1111,572
20187,9073,4687,1169,1956,814,447
20190,12364,8704,1005,1964,165,526
20191,16728,10081,2544,2702,555,846
20194,7261,5459,548,997,116,141
20197,1066,649,72,269,36,40
20198,1005,483,244,162,75,41
22003,30383,14348,6044,4895,3109,1987
22015,23081,13668,3363,3827,854,1369
22025,9361,5098,1305,1925,411,622
22026,8351,3220,1463,2298,460,910
22027,979,630,115,205,7,22
22030,31395,19632,4096,5269,1061,1337
22031,20547,13682,2341,2896,767,861
22032,16195,10361,1981,2701,532,620
22033,22416,14728,2172,3773,432,1311
22035,183,166,0,0,0,17
22039,8654,5936,998,1425,136,159
22041,14456,6560,2750,1993,1810,1343
22042,20480,10876,3081,3311,1723,1489
