ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
20105,15148,354,1230,3183,10381
20106,2536,105,782,865,784
20109,23888,4588,5484,5946,7870
20110,26546,4306,6890,7183,8167
20111,20115,4180,5018,5120,5797
20112,14763,536,2184,4580,7463
20115,4012,343,913,1213,1543
20117,1401,66,163,502,670
20119,2338,374,518,741,705
20120,23546,1017,2965,4627,14937
20121,17157,1045,3103,3785,9224
20124,7921,198,786,1046,5891
20129,317,0,14,26,277
20130,114,13,21,7,73
20132,9655,563,1080,2418,5594
20135,1873,31,456,427,959
20136,16952,753,2607,3947,9645
20137,967,69,164,226,508
20141,3737,30,461,935,2311
20143,332,11,70,135,116
20144,464,82,118,115,149
20147,35166,1318,2647,7078,24123
20148,30428,1009,1784,3989,23646
20151,12230,1136,1838,2327,6929
20152,21284,744,2185,3457,14898
20155,18366,505,2904,4914,10043
20158,2324,58,186,601,1479
20164,22825,4345,4364,5522,8594
20165,18330,597,1537,3483,12713
20166,7451,684,1184,1285,4298
20169,12778,305,1300,3394,7779
20170,24943,3513,3333,4036,14061
20171,29157,764,2419,3865,22109
20175,19962,764,2948,3725,12525
20176,27983,1800,3200,6169,16814
20180,4152,172,746,968,2266
20181,4808,199,1337,1313,1959
20184,246,0,71,91,84
20186,7744,413,1614,2677,3040
20187,9842,351,1640,3157,4694
20190,12183,329,956,1696,9202
20191,16401,1045,2069,3238,10049
20194,7384,55,298,923,6108
20197,1422,0,154,357,911
20198,880,53,133,209,485
22003,30480,4043,5036,6314,15087
22015,23698,860,2586,5153,15099
22025,10141,294,1567,2864,5416
22026,8404,836,2072,2550,2946
22027,1168,42,39,154,933
22030,31325,1816,3296,5160,21053
22031,20820,995,1581,2833,15411
22032,16227,538,1807,2850,11032
22033,22739,550,1733,4283,16173
22035,166,17,0,65,84
22039,9125,130,571,1165,7259
22041,15498,3308,2246,2763,7181
22042,21140,2804,3084,3337,11915
22043,14636,992,1326,2189,10129
22044,7620,1287,1300,917,4116
22046,10198,391,959,1031,7817
22060,4112,78,387,1667,1980
22066,8523,47,432,875,7169
22079,20561,1348,3488,5149,10576
22101,14514,283,261,1130,12840
22102,15525,288,618,1347,13272
22124,9722,214,381,1111,8016
22125,567,0,75,195,297
22134,2553,60,572,757,1164
22150,14959,2295,2866,3556,6242
22151,9356,1458,1430,2003,4465
22152,15387,911,2043,2947,9486
22153,17128,834,1745,3648,10901
22172,6249,962,1120,1799,2368
22180,12901,507,806,1691,9897
22181,7446,200,286,823,6137
22182,13672,299,599,1499,11275
22191,41500,5656,8722,11581,15541
22192,32176,2741,5786,9576,14073
22193,45419,6459,9835,12957,16168
22201,27164,563,1046,1809,23746
22202,18698,131,646,1609,16312
22203,15946,706,906,1186,13148
22204,33369,3308,4199,5218,20644
22205,9987,475,772,854,7886
22206,14583,768,578,1899,11338
22207,17494,388,1143,1520,14443
22209,9194,390,347,875,7582
22211,261,6,43,108,104
22213,2651,187,232,215,2017
22214,0,0,0,0,0
22301,8320,137,261,672,7250
22302,11957,526,1097,1597,8737
22303,9728,763,1090,1571,6304
22304,30980,2159,3690,6635,18496
22305,11612,1669,1495,1611,6837
22306,17825,2854,3756,4032,7183
22307,5389,233,337,1030,3789
22308,6200,120,367,656,5057
22309,19939,2786,4228,4790,8135
22310,18001,1132,2233,3458,11178
22311,11977,1404,1427,3543,5603
22312,18317,2162,3520,3971,8664
22314,23507,491,1514,2644,18858
22315,17197,511,1863,3630,11193
22401,14402,1221,3059,3747,6375
22405,17062,673,4064,4704,7621
22406,13347,556,2930,4677,5184
22407,30853,2369,9108,9617,9759
22408,16798,1204,3470,5162,6962
22427,2253,150,777,660,666
22432,132,0,132,0,0
22433,215,0,123,92,0
22435,1202,85,403,471,243
22436,326,46,134,110,36
22437,382,47,126,209,0
22438,187,0,69,60,58
22443,4191,556,1478,1326,831
22448,320,7,70,134,109
22454,1043,183,276,471,113
22460,609,33,196,171,209
22469,971,155,483,155,178
22473,1986,249,877,433,427
22476,147,33,73,29,12
22480,170,10,24,46,90
22482,1495,63,411,618,403
22485,13955,929,3608,4383,5035
22488,310,23,109,158,20
22503,1707,234,580,465,428
22504,20,0,11,4,5
22508,7413,603,1905,2747,2158
22509,46,0,10,36,0
22511,234,0,50,113,71
22514,1135,118,326,347,344
22520,3084,418,1099,936,631
22529,11,0,0,7,4
22534,1455,194,724,344,193
22535,169,21,69,31,48
22538,117,67,28,22,0
22539,783,45,133,236,369
22542,1031,83,520,265,163
22546,8498,430,3274,2925,1869
22548,124,0,0,72,52
22551,10531,1201,3319,3278,2733
22553,8455,335,2065,3301,2754
22554,33172,2080,6668,9336,15088
22556,16779,1801,3237,5150,6591
22560,3146,450,1293,929,474
22567,1793,175,696,641,281
22572,4322,768,1567,1247,740
22576,756,72,203,235,246
22578,1327,94,443,352,438
22580,3078,405,1365,686,622
22601,14832,1792,3722,4388,4930
22602,15895,1418,4897,4929,4651
22603,7976,877,2974,2302,1823
22610,699,67,363,205,64
22611,4644,353,1211,1417,1663
22620,1524,135,369,457,563
22623,496,74,106,257,59
22624,1524,169,521,404,430
22625,1827,82,665,622,458
22627,350,0,121,53,176
22630,17957,1867,6543,5588,3959
22637,1173,311,466,234,162
22639,242,21,45,104,72
22640,137,16,43,34,44
22641,128,0,29,72,27
22642,2757,319,729,1107,602
22643,168,0,19,54,95
22644,1250,118,521,375,236
22645,2158,211,773,665,509
22646,13,0,0,13,0
22650,274,15,116,37,106
22652,736,78,280,232,146
22654,505,79,87,139,200
22655,11686,1190,3313,3855,3328
22656,2066,164,502,737,663
22657,5249,432,1875,1923,1019
22660,1161,188,650,227,96
22663,323,55,57,94,117
22664,4478,536,1505,1406,1031
22701,17985,2102,5056,6237,4590
22709,711,16,237,291,167
22711,0,0,0,0,0
22712,4712,592,1379,1764,977
22713,789,115,341,220,113
22714,441,38,164,107,132
22715,625,38,193,166,228
22716,496,0,81,313,102
22718,414,79,169,67,99
22719,26,0,26,0,0
22720,591,18,254,176,143
22722,139,0,68,71,0
22723,14,0,0,0,14
22724,1252,50,259,520,423
22726,536,9,307,185,35
22727,3081,282,1224,830,745
22728,1329,115,444,471,299
22729,1146,309,554,238,45
22730,86,0,40,46,0
22731,12,0,0,0,12
22732,65,0,0,0,65
22733,694,76,298,148,172
22734,1981,419,571,608,383
22735,1330,243,550,422,115
22736,508,118,117,222,51
22737,1700,224,753,410,313
22738,620,22,94,272,232
22740,461,29,223,85,124
22741,102,40,0,14,48
22742,1043,119,440,293,191
22743,54,0,0,0,54
22747,538,63,118,63,294
22749,114,0,25,27,62
22801,16269,1834,3420,3686,7329
22802,16137,3170,5383,3128,4456
22807,0,0,0,0,0
22810,262,0,82,98,82
22811,287,55,158,24,50
22812,3543,261,978,834,1470
22815,4629,891,1916,969,853
22820,138,0,64,74,0
22821,3055,718,1049,670,618
22824,3247,225,1534,830,658
22827,5527,806,2419,1623,679
22830,1064,242,478,201,143
22831,564,108,299,73,84
22832,367,92,74,79,122
22834,474,27,220,112,115
22835,6273,865,2713,1594,1101
22840,2803,119,750,681,1253
22841,1515,219,592,345,359
22842,2941,311,1319,876,435
22843,1172,245,411,172,344
22844,2279,206,939,561,573
22845,0,0,0,0,0
22846,840,62,233,202,343
